5617238,4856554,3
4412553,7845707,4
7777364,9621544,3
4256493,4514127,4
4194179,2922610,9
7777364,9768885,2
4429606,7467129,5
7563481,9382087,3
9977657,7787005,4
4412553,7467129,3
5617238,3034161,9
2291360,4514127,2
6113191,9049476,9
5500538,3681037,4
5500538,5854138,6
1539372,3582746,2
9784801,1535122,4
9768885,1064190,6
1092920,7712647,9
6663501,9222701,2
5500538,9365903,5
5500538,1539372,2
1717308,4629608,2
6107854,2922610,4
3937406,9365903,4
4803607,5931324,0
2804938,5950090,7
7016005,6806093,1
9365903,3034161,0
4856554,7787005,3
4629608,5931324,2
7300564,1539372,7
1815331,9621544,4
1018408,3937406,6
4194179,7787005,7
6663501,5572173,2
9977657,9049476,6
6003956,3582746,3
2678284,3582746,5
5500538,9222701,6
7639414,1539372,2
8843788,9621544,9
3014308,9163355,2
2291360,9621544,1
4270090,2922610,8
3613220,3034161,8
6113191,9621544,7
1535122,1717308,7
1815331,9784801,5
2804938,9660346,5
6733734,4514127,3
6206457,9621544,0
4429606,9594618,8
9977657,4803607,6
7091235,4270090,2
7787005,9365903,1
5469701,5572173,6
5617238,5572173,2
2804938,6663501,8
4256493,4270090,5
7777364,5572173,9
1535122,7016005,7
4908754,1018408,2
7091235,7639414,3
7787005,3869622,6
5534340,4803607,1
7300564,4596988,6
4052424,1064190,0
9054169,7845707,3
8576828,7639414,9
5500538,2922610,7
3613220,9049476,8
4256493,8576828,2
5742861,1570331,7
5533781,6733734,6
9768885,3582746,8
4194179,4554797,1
1064190,9054169,4
9047934,2716792,2
6663501,8192378,1
4856141,5950090,1
3613220,8923747,4
1064190,3869622,1
4856554,7712647,2
4856554,9768885,8
3613220,5572173,6
5950090,9621544,8
4412553,2716792,0
9977657,5931324,4
9660346,8811421,3
4052424,7134772,2
9784801,2716792,3
5848918,1018408,7
9251034,9639395,8
7091235,8162119,0
7777364,6921422,5
5534340,6921422,9
7016005,9977657,0
4429606,9977657,3
9047934,1570331,0
9382087,7134772,8
8811421,7237608,3
8923747,4514127,2
8576828,9660346,8
1018408,9054169,6
1535122,4803607,8
7787005,9621544,4
5742861,2291360,8
5011459,3937406,9
1064190,4803607,4
5617238,9251034,0
6206457,6107854,4
4194179,9382087,5
9047934,1092920,8
1539372,1018408,8
1092920,1929960,5
4596988,4514127,4
7712647,1535122,2
9768885,7787005,7
5469701,9163355,2
9594618,6921422,2
9047934,9639395,2
1717308,7845707,5
5534340,8576828,5
7134772,3034161,0
4256493,6921422,3
9784801,5533781,6
2716792,7134772,1
5950090,8162119,4
9744605,6113191,9
9744605,4429606,5
9768885,9054169,4
5617238,1092920,1
5059905,6902046,1
4856554,5533781,6
2678284,2547504,5
7563481,9365903,9
9222701,6921422,6
6003956,6733734,5
9382087,5427879,4
5931324,8822896,8
3014308,1018408,0
1570331,6113191,4
4270090,2678284,4
8192378,3014308,5
5848918,5572173,9
9768885,8811421,9
8843788,9977657,9
2291360,3014308,8
1815331,6113191,4
8843788,1570331,2
4327476,2291360,4
4052424,5427879,5
4206698,3034161,4
9251034,3582746,7
8843788,6113191,8
2804938,4194179,2
8843788,8162119,9
3681037,8923747,3
9382087,5950090,5
5500538,7639414,1
7467129,8923747,2
9594618,7237608,4
2804938,5059905,6
8843788,1064190,8
4194179,5848918,9
5533781,6921422,7
3869622,1539372,9
4052424,6902046,5
5469701,6809443,5
9768885,2547504,7
4757203,8576828,3
7091235,4596988,7
5617238,6809443,9
2678284,9049476,7
6663501,9163355,7
7300564,2716792,8
8162119,9049476,3
7016005,8923747,6
9639395,3582746,3
4194179,6809443,0
6806093,6809443,2
5011459,7777364,5
5950090,6809443,0
1161890,3869622,7
4327476,5534340,1
4429606,3582746,6
9251034,9365903,7
4596988,6113191,1
4270090,3613220,1
5469701,4429606,3
5500538,6113191,5
7639414,6809443,4
7091235,4856554,4
7777364,4629608,5
9768885,1535122,6
9784801,4429606,1
5534340,8162119,4
6107854,6809443,5
5617238,5011459,2
7091235,3034161,0
8843788,8822896,7
7563481,3034161,3
5742861,4270090,9
6663501,4256493,6
7300564,6113191,7
4256493,3937406,8
6003956,9621544,4
6663501,4194179,0
5469701,1717308,9
5950090,9163355,1
7639414,9660346,9
4803607,1018408,8
5500538,4757203,9
4270090,8843788,9
4429606,7134772,5
7712647,9251034,6
7016005,3681037,2
7712647,6113191,7
5533781,3613220,8
9784801,4908754,6
2678284,6921422,2
6107854,9163355,4
1161890,2922610,2
4194179,1717308,0
5427879,6206457,2
3613220,9660346,4
7777364,4908754,2
7016005,7787005,3
1064190,5931324,2
3681037,9049476,8
7563481,9222701,8
5500538,7016005,7
4856554,7134772,6
9222701,1929960,0
4856141,7777364,0
4256493,4596988,8
7777364,4052424,7
5534340,7016005,8
1535122,6113191,8
6809443,3034161,9
4856141,9222701,2
9744605,4052424,5
5011459,3034161,7
1092920,4052424,5
4908754,1929960,4
4194179,5854138,2
4206698,6902046,2
5950090,9365903,5
1064190,9660346,2
5011459,6206457,7
7777364,9054169,7
3014308,9251034,2
6003956,6113191,7
4856554,9054169,1
5059905,1717308,0
2291360,2922610,1
8162119,9251034,6
2678284,9251034,2
6107854,7134772,8
4052424,1535122,4
8576828,8923747,2
5617238,7091235,9
5469701,5534340,7
4596988,1929960,8
6003956,1092920,1
4256493,4052424,9
8576828,4803607,2
9382087,9163355,5
6663501,2922610,5
7091235,2922610,6
7091235,9621544,6
5534340,8923747,1
1161890,8811421,7
7091235,5500538,1
5500538,4596988,7
7091235,9768885,2
4856554,8923747,5
9382087,7237608,7
3869622,8576828,4
7091235,1018408,5
3681037,6921422,6
2291360,4270090,5
4194179,8923747,2
4959860,9054169,0
1161890,4514127,4
7016005,2547504,9
4412553,4554797,8
5469701,3869622,5
4206698,9639395,1
5011459,5469701,2
3869622,5572173,3
6733734,2547504,1
1161890,5572173,3
1064190,5848918,1
9222701,9054169,1
6806093,4803607,0
8843788,9222701,6
7016005,1018408,1
7639414,3582746,5
