3613220,9365903,9
4856141,7134772,4
2716792,2547504,0
1815331,1064190,9
7134772,8822896,7
4194179,2678284,0
2804938,9784801,8
4856554,9639395,7
9382087,7016005,9
8192378,9382087,2
5617238,9047934,3
2804938,9049476,4
1539372,9621544,2
5617238,3014308,9
7091235,5533781,6
5617238,6206457,5
7016005,8162119,2
4908754,7237608,9
5950090,1929960,7
5848918,5950090,4
4554797,5572173,8
6806093,8162119,1
5617238,2291360,1
5059905,6733734,0
4052424,9594618,1
4194179,1929960,4
4554797,4629608,3
3937406,4514127,5
8576828,3014308,2
5617238,2547504,8
4757203,6107854,4
4596988,9365903,6
6733734,8162119,6
9977657,1018408,1
6003956,6733734,0
4256493,8162119,3
4412553,1092920,9
6003956,5059905,7
1161890,9222701,5
7787005,2678284,7
4270090,1064190,4
9047934,3681037,2
7300564,6921422,4
4856141,2291360,8
4256493,3869622,6
1570331,3937406,9
3681037,5854138,1
6107854,7467129,6
4554797,8822896,1
